Yr-M-D,Mon-Yr,CA,Alameda,Amador,Butte,Calaveras,Contra-Costa,Del Norte,El Dorado,Fresno,Glenn,Humboldt,Kern,Kings,Lake,Lassen,Los Angeles,Madera,Marin,Mariposa,Mendocino,Merced,Mono,Monterey,Napa,Nevada,Orange,Placer,Plumas,Riverside,Sacramento,San Benito,San Bernardino,San Diego,San Francisco,San Joaquin,San Luis Obispo,San Mateo,Santa Barbara,Santa Clara,Santa Cruz,Shasta,Siskiyou,Solano,Sonoma,Stanislaus,Sutter,Tehama,Trinity,Tulare,Tuolumne,Ventura,Yolo,Yuba,,Condo,LA Metro,Central Coast,Central Valley,Far North,Inland Empire,S.F. Bay Area,SoCal
1990-01-01,Jan-90,"194,952.00","226,148.90",NA,"102,142.75",NA,NA,NA,NA,"82,083.13",NA,"79,641.89","85,892.00",NA,NA,NA,"215,337.93",NA,"346,153.00",NA,"140,000.00","83,889.00","93,291.00","233,333.00","178,888.00",NA,"231,273.89","182,220.00",NA,"136,832.04","123,000.00",NA,"128,806.00","180,484.00","287,499.00","105,000.00","227,522.36",NA,"273,071.29","271,840.00","250,000.00",NA,NA,NA,"174,022.00",NA,NA,NA,NA,"86,999.30",NA,"250,410.00",NA,NA,,"141,519.00","203,389.54",NA,NA,NA,NA,"227,365.83",NA
1990-02-01,Feb-90,"196,273.00","219,306.00",NA,"83,333.00",NA,NA,NA,NA,"87,186.78",NA,"83,571.07","80,294.00",NA,NA,NA,"208,399.12",NA,"338,333.00",NA,"116,665.83","77,499.00",NA,"187,856.00","186,363.00",NA,"233,655.58","182,630.00",NA,"136,021.27","126,900.00",NA,"124,545.00","180,714.00","300,877.00","102,500.00","236,377.26",NA,"259,668.43","273,100.00","261,607.00",NA,NA,NA,"180,294.00",NA,NA,NA,NA,"84,374.56",NA,"235,760.00",NA,NA,,"144,965.00","211,024.11",NA,NA,NA,NA,"234,739.46",NA
1990-03-01,Mar-90,"194,856.00","225,162.00",NA,"100,000.00",NA,NA,NA,NA,"83,888.50",NA,"88,888.00","87,758.00",NA,NA,NA,"208,134.86",NA,"358,571.00",NA,"111,428.00","85,909.00",NA,"230,555.00","180,000.00",NA,"242,312.50","179,470.00",NA,"135,835.18","127,500.00",NA,"127,017.00","183,701.00","290,151.00","117,692.00","216,010.04",NA,"253,300.99","275,500.00","260,577.00",NA,NA,NA,"178,823.00",NA,NA,NA,NA,"84,210.11",NA,"240,320.00",NA,NA,,"141,132.00","209,286.09",NA,NA,NA,NA,"235,336.50",NA
1990-04-01,Apr-90,"196,111.00","229,333.00",NA,"107,999.60",NA,NA,NA,NA,"85,428.03",NA,"83,499.65","80,323.00",NA,NA,NA,"219,003.99",NA,"359,574.00",NA,"133,332.67","84,285.00",NA,"238,095.00","158,571.00",NA,"239,380.49","200,000.00",NA,"134,629.07","135,500.00",NA,"131,485.00","181,567.00","288,725.00","112,692.00","189,245.54",NA,"217,363.23","274,660.00","255,263.00",NA,NA,NA,"184,117.00",NA,NA,NA,NA,"88,927.68",NA,"230,620.00",NA,NA,,"145,707.00","210,301.59",NA,NA,NA,NA,"233,178.50",NA
1990-05-01,May-90,"195,281.00","232,291.00",NA,"100,000.00",NA,NA,NA,NA,"88,749.13",NA,"79,061.59","86,562.00",NA,NA,NA,"209,065.02",NA,"374,999.00",NA,"138,749.06","100,000.00",NA,"259,375.00","187,692.00",NA,"256,401.38","194,610.00",NA,"140,823.47","138,000.00",NA,"130,538.00","180,794.00","282,626.00","112,778.00","199,325.05",NA,"227,608.90","266,670.00","262,500.00",NA,NA,NA,"185,844.00",NA,NA,NA,NA,"85,999.40",NA,"235,320.00",NA,NA,,"146,060.00","210,147.75",NA,NA,NA,NA,"235,881.36",NA
1990-06-01,Jun-90,"194,410.00","231,250.00",NA,"123,043.33",NA,NA,NA,NA,"87,999.20",NA,"94,545.00","87,499.00",NA,NA,NA,"210,605.90",NA,"394,185.00",NA,"145,999.70","92,000.00",NA,"190,833.00","177,332.00",NA,"244,364.42","187,600.00",NA,"139,951.65","142,000.00",NA,"130,769.00","186,733.00","305,738.00","112,666.00","223,021.33",NA,"269,120.62","276,960.00","238,461.00",NA,NA,NA,"185,333.00",NA,NA,NA,NA,"88,332.50",NA,"242,310.00",NA,NA,,"147,523.00","209,926.86",NA,NA,NA,NA,"240,385.71",NA
1990-07-01,Jul-90,"193,088.00","232,916.00",NA,"113,570.75",NA,NA,NA,NA,"91,346.02",NA,"107,691.92","88,780.00",NA,NA,NA,"225,250.71",NA,"357,291.00",NA,"163,999.80","116,249.00",NA,"196,363.00","184,166.00",NA,"236,108.84","183,890.00",NA,"143,126.61","145,000.00",NA,"131,481.00","185,861.00","296,195.00","106,999.00","213,109.55",NA,"234,261.37","273,600.00","234,722.00",NA,NA,NA,"185,333.00",NA,NA,NA,NA,"94,411.32",NA,"236,920.00",NA,NA,,"144,931.00","208,581.80",NA,NA,NA,NA,"241,503.00",NA
1990-08-01,Aug-90,"192,180.00","228,467.00",NA,"113,332.67",NA,NA,NA,NA,"95,178.05",NA,"94,444.00","86,477.00",NA,NA,NA,"213,478.49",NA,"365,217.00",NA,"143,333.17","97,222.00",NA,"208,823.00","172,499.00",NA,"234,907.66","205,450.00",NA,"143,827.17","142,000.00",NA,"129,601.00","185,639.00","284,523.00","118,076.00","233,726.96",NA,"210,623.35","273,340.00","269,078.00",NA,NA,NA,"180,270.00",NA,NA,NA,NA,"92,083.13",NA,"231,200.00",NA,NA,,"145,204.00","199,723.97",NA,NA,NA,NA,"237,727.08",NA
1990-09-01,Sep-90,"189,979.00","225,000.00",NA,"117,499.13",NA,NA,NA,NA,"92,499.75",NA,"93,999.60","92,812.00",NA,NA,NA,"211,552.00",NA,"337,500.00",NA,"147,499.63","96,999.00",NA,"192,000.00","177,499.00",NA,"226,249.95","189,170.00",NA,"144,070.08","139,000.00",NA,"126,497.00","186,272.00","278,301.00","111,667.00","206,346.23",NA,"214,462.49","258,060.00","256,250.00",NA,NA,NA,"182,308.00",NA,NA,NA,NA,"83,749.63",NA,"239,930.00",NA,NA,,"141,080.00","193,597.35",NA,NA,NA,NA,"225,568.58",NA
1990-10-01,Oct-90,"187,630.00","221,093.00",NA,"127,142.50",NA,NA,NA,NA,"96,891.20",NA,"91,249.88","87,386.00",NA,NA,NA,"207,801.38",NA,"351,851.00",NA,"125,999.70","105,000.00",NA,"192,727.00","197,777.00",NA,"229,611.74","185,710.00",NA,"139,775.12","136,700.00",NA,"126,666.00","179,444.00","272,500.00","122,143.00","174,676.90",NA,"214,053.99","253,470.00","245,833.00",NA,NA,NA,"183,414.00",NA,NA,NA,NA,"90,000.00",NA,"238,220.00",NA,NA,,"141,350.00","199,908.70",NA,NA,NA,NA,"227,917.15",NA
